# Guess for Rs	Radial constraint	Angular constraint
2.27227e+07	-73593.6	3.96562e+09
2.27582e+07	-73478.9	3.95943e+09
2.27936e+07	-73364.6	3.95325e+09
2.28291e+07	-73250.7	3.9471e+09
2.28645e+07	-73137.2	3.94096e+09
2.29e+07	-73023.9	3.93485e+09
2.29354e+07	-72911.1	3.92875e+09
2.29709e+07	-72798.6	3.92267e+09
2.30063e+07	-72686.4	3.91661e+09
2.30418e+07	-72574.6	3.91057e+09
2.30772e+07	-72463.1	3.90455e+09
2.31127e+07	-72351.9	3.89854e+09
2.31481e+07	-72241.1	3.89256e+09
2.31836e+07	-72130.7	3.88659e+09
2.3219e+07	-72020.6	3.88064e+09
2.32545e+07	-71910.8	3.87471e+09
2.32899e+07	-71801.3	3.8688e+09
2.33253e+07	-71692.2	3.8629e+09
2.33608e+07	-71583.4	3.85703e+09
2.33962e+07	-71475	3.85117e+09
2.34317e+07	-71366.8	3.84533e+09
2.34671e+07	-71259	3.83951e+09
2.35026e+07	-71151.5	3.8337e+09
2.3538e+07	-71044.4	3.82791e+09
2.35735e+07	-70937.5	3.82214e+09
2.36089e+07	-70831	3.81639e+09
2.36444e+07	-70724.8	3.81065e+09
2.36798e+07	-70619	3.80493e+09
2.37153e+07	-70513.4	3.79923e+09
2.37507e+07	-70408.2	3.79355e+09
